,Price,Returns,Lagged_Returns
SMA_20,0.992087428756278,-0.04717867634383693,-0.04911490198028376
EMA_20,0.9946903702469655,-0.04601778762417283,-0.05063624233013018
RSI_14,0.07017645827064484,0.29998374332436945,-0.03580453729699117
MACD,0.12447286976463029,0.019436397092428736,-0.038239473235388725
MACD_Signal,0.1270703571183985,-0.0276844102480005,-0.04035720870796544
Stoch_K,0.05794909506174581,0.42433401658988956,-0.0130761455792764
Stoch_D,0.06337230133716851,0.13264339718847587,-0.03051803439367377
BB_Upper,0.9895334143023568,-0.04687164559016608,-0.04873022134067366
BB_Middle,0.992087428756278,-0.04717867634383693,-0.04911490198028376
BB_Lower,0.9902659929357353,-0.044289745093297396,-0.0457745492899406
ATR_14,0.8610975398585741,-0.029745231002185284,-0.029253715225283607
OBV,0.9217563974517561,-0.0027290191051421906,-0.05587694048354281
CCI_20,0.05216233358754919,0.27102174526184436,-0.013426209042195462
WilliamsR_14,0.05794909506174581,0.42433401658988956,-0.0130761455792764
ROC_12,0.046785526576553924,0.21117319166745557,-0.03639236163203124
AD_Line,-0.8210303252775694,0.044465524094812706,0.007134466245502381
CMF_20,-0.05928879093970592,0.12402368694050815,-0.01850949270662829
PSAR,0.9864380462969944,-0.058263387545351104,-0.04633474540357806
VWAP,0.9948080477864049,-0.04729731350831802,-0.05061281272135874
KC_Upper,0.9915078276786513,-0.04771811964029969,-0.04910681820214613
KC_Lower,0.9919336373241291,-0.047467190232905375,-0.04883294872520302
